t	Ecin	Epot	Rg	buf4	buf5
40189.000000	0.500340	0.510527	0.798300	0.658608	-0.002218
40190.000000	0.500341	0.510519	0.798298	0.658604	-0.002225
40191.000000	0.500337	0.510513	0.798299	0.658607	-0.002229
40192.000000	0.500342	0.510512	0.798298	0.658604	-0.002234
40193.000000	0.500345	0.510504	0.798299	0.658605	-0.002245
40194.000000	0.500342	0.510495	0.798297	0.658601	-0.002243
40195.000000	0.500338	0.510490	0.798295	0.658598	-0.002233
40196.000000	0.500342	0.510493	0.798297	0.658601	-0.002216
40197.000000	0.500346	0.510498	0.798291	0.658593	-0.002209
40198.000000	0.500346	0.510502	0.798288	0.658588	-0.002201
40199.000000	0.500348	0.510498	0.798292	0.658596	-0.002189
40200.000000	0.500346	0.510502	0.798290	0.658593	-0.002188
40201.000000	0.500352	0.510510	0.798291	0.658593	-0.002190
40202.000000	0.500352	0.510509	0.798286	0.658586	-0.002194
40203.000000	0.500347	0.510509	0.798285	0.658583	-0.002201
40204.000000	0.500347	0.510511	0.798287	0.658586	-0.002192
40205.000000	0.500350	0.510510	0.798291	0.658594	-0.002174
40206.000000	0.500350	0.510507	0.798287	0.658588	-0.002170
40207.000000	0.500347	0.510504	0.798283	0.658581	-0.002167
40208.000000	0.500348	0.510500	0.798284	0.658583	-0.002155
40209.000000	0.500345	0.510493	0.798283	0.658580	-0.002146
40210.000000	0.500347	0.510493	0.798284	0.658582	-0.002146
40211.000000	0.500348	0.510491	0.798290	0.658592	-0.002151
40212.000000	0.500347	0.510485	0.798289	0.658590	-0.002155
40213.000000	0.500349	0.510480	0.798287	0.658588	-0.002149
40214.000000	0.500350	0.510474	0.798287	0.658587	-0.002156
40215.000000	0.500349	0.510471	0.798287	0.658586	-0.002166
40216.000000	0.500348	0.510472	0.798291	0.658593	-0.002171
40217.000000	0.500351	0.510468	0.798292	0.658593	-0.002175
40218.000000	0.500357	0.510465	0.798290	0.658590	-0.002179
40219.000000	0.500361	0.510461	0.798289	0.658588	-0.002179
40220.000000	0.500361	0.510462	0.798292	0.658594	-0.002164
40221.000000	0.500358	0.510458	0.798295	0.658599	-0.002147
40222.000000	0.500357	0.510460	0.798292	0.658594	-0.002142
40223.000000	0.500358	0.510466	0.798295	0.658599	-0.002131
40224.000000	0.500357	0.510469	0.798294	0.658597	-0.002121
